,description,publishedAt,source,title,url,company
12,"Romantic comedies were once the realm of homogenous blockbusters: You’d have a stacked deck of Sandra Bullocks, Reese Witherspoons, Julia Robertses, and Jennifer Garners on one side, and some Hugh Grants, Mark Ruffalos, Matthew McConaugheys, and Vince Vaughns…",2018-10-18T16:50:00Z,"{'id': None, 'name': 'Avclub.com'}",Why did millions of Netflix subscribers watch rom-coms this summer?,https://www.avclub.com/why-did-millions-of-netflix-subscribers-watch-rom-coms-1829325035,Gay Lea
13,"Just some gal pals who righteously and gleefully killed their predators, who ruined powerful men’s lives and careers.",2018-10-08T15:10:55Z,"{'id': None, 'name': 'Autostraddle.com'}",20 Movies about Friendship and Misandry for When You Want to Burn it All Down,https://www.autostraddle.com/20-movies-about-friendship-and-misandry-for-when-you-want-to-burn-it-all-down-434628/,Gay Lea
14,"The Kenyan High Court on Friday temporarily lifted a ban on “Rafiki,” director Wanuri Kahiu’s lesbian coming of age romance, making the film eligible for the 2019 Academy Awards. “I am not convinced that Kenya is such a weak society that it cannot handle a ga…",2018-09-22T00:05:27Z,"{'id': None, 'name': 'Thewrap.com'}","Kenyan High Court Lifts Ban on Lesbian Love Story ‘Rafiki,’ Making Film Eligible for Oscars",http://www.thewrap.com/kenyan-court-lifts-ban-on-lesbian-love-story-rafiki-making-film-eligible-for-oscars/,Gay Lea
15,"J’écris sur la comédie romantique sur Slate depuis plusieurs années. J’y ai parlé de son emprise sur nos vies amoureuses, de ses happy-ends, de ses «gentils garçons», de sa vision des relations hommes-femmes et même de sa possible révolution. Mais, après ces …",2018-09-24T17:18:22Z,"{'id': None, 'name': 'Slate.fr'}",La comédie romantique selon Netflix: feu de paille ou vraie révolution?,http://www.slate.fr/story/167639/comedie-romantique-rom-com-netflix,Gay Lea
16,"Giant Tiger Canada has a great price on Heinz ketchup until October the 2nd, and even better if you have a tear pad coupon that was put out a few months ago. Until tomorrow, Giant Tiger has Heinz ketchup 1L on sale for $2.97. Use the coupon for $1 off the pur…",2018-10-01T16:10:47Z,"{'id': None, 'name': 'Smartcanucks.ca'}",Giant Tiger Canada: Heinz Ketchup $1.97 After Coupon Until October 2nd,https://smartcanucks.ca/giant-tiger-canada-heinz-ketchup-1-97-after-coupon-until-october-2nd/,Gay Lea
17,"Here are your sneak peeks of the No Frills, Food Basics, and Freshco Ontario flyers for the week of October the 4th to the 10th. You can view each of these flyers in their entirety by clicking the links below. Here are some of the highlights of the deals in e…",2018-10-02T23:14:43Z,"{'id': None, 'name': 'Smartcanucks.ca'}","Ontario Flyer Sneak Peeks: Food Basics, Freshco, and No Frills October 4th – 10th",https://smartcanucks.ca/ontario-flyer-sneak-peeks-food-basics-freshco-and-no-frills-october-4th-10th/,Gay Lea
18,"Stories include The Bi Life reality dating show, new lesbians on God Friended Me, Practical Magic, Lena Waithe's new show about sneaker culture, Kristen Stewart in an outfit, Riverdale's flashback episode, Jen Richards in Tales of the City, ""Her Body and Othe…",2018-10-17T21:17:25Z,"{'id': None, 'name': 'Autostraddle.com'}",Pop Culture Fix: Melissa McCarthy Is Your Fave Cranky Lesbian Con Artist in “Will You Ever Forgive Me?” and Other Stories,https://www.autostraddle.com/pop-culture-fix-melissa-mccarthy-is-your-fave-cranky-lesbian-con-artist-in-will-you-ever-forgive-me-and-other-stories-436150/,Gay Lea
19,"It's almost October! The leaves are starting to turn, a chill is in the air, and Oscar bait is on the way. This week in wide release, we've got a decidely non-Oscar baity release in Night School, and a kids flick called Smallfoot. But in indie films, there ar…",2018-09-26T21:57:07Z,"{'id': None, 'name': 'Livejournal.com'}",Indie Film Release Guide: September 28th [An ONTD Original],https://ohnotheydidnt.livejournal.com/112465514.html,Gay Lea
0,"Like many towns in Colorado, the box canyon village of Telluride has its late 19th-century roots in mining. There was indeed “gold in them hills,” though interestingly enough, never actually the mineral for which the town was named. These days, however, Tellu…",2018-10-07T12:00:06Z,"{'id': None, 'name': 'Thepointsguy.com'}",Top 10 Things to Do in Telluride,http://thepointsguy.com/guide/top-things-to-do-in-telluride/,Canyon Creek Food Company
1,"Their improbably great restaurant is at the gate of a vast wilderness and they’re battling to keep it unspoiled, Kathryn Schulz writes.",2018-09-24T09:00:00Z,"{'id': None, 'name': 'Newyorker.com'}",Why Two Chefs in Small-Town Utah Decided to Sue President Trump,https://www.newyorker.com/magazine/2018/10/01/why-two-chefs-in-small-town-utah-decided-to-sue-president-trump,Canyon Creek Food Company
2,"Chinook Wawa was once spoken by more than 100,000 people, from Alaska to the California border, for more than 100 years.",2018-10-03T11:08:57Z,"{'id': None, 'name': 'Bbc.com'}","Chinook Wawa, a pidgin language that combined Nootka, Chinook, French, English",http://www.bbc.com/travel/story/20181002-north-americas-nearly-forgotten-language,Canyon Creek Food Company
3,"Chinook Wawa was once spoken by more than 100,000 people, from Alaska to the California border, for more than 100 years.",2018-10-03T15:15:49Z,"{'id': None, 'name': 'Bbc.com'}",North America's Nearly Forgotten Language,http://www.bbc.com/travel/story/20181002-north-americas-nearly-forgotten-language?ocid=global_travel_rss,Canyon Creek Food Company
4,"As mega-passes continue to add resorts, now is the time to ditch single-day lift tickets for good",2018-10-10T17:54:25Z,"{'id': None, 'name': 'Outsideonline.com'}",How to Have Your Best Winter Yet,https://www.outsideonline.com/2352906/your-best-winter-yet,Canyon Creek Food Company
5,"Science A state-by-state breakdown of policies that could change your community. These are the top science, technology, or environment issues facing each state—plus Puerto Rico and Washington, D.C. Even if it never surfaces on the campaign trail,…",2018-10-17T11:00:00Z,"{'id': None, 'name': 'Popsci.com'}",The most important science policy issue in every state,https://www.popsci.com/important-science-issues-every-state,Canyon Creek Food Company
6,"Marin County may not be The City, and it isn't exactly huge, but the wooded, hilly region north of the Golden Gate has way more to offer than just excellent schools for fleeing urbanites with kids. There are, of course, the hike and bike trails that San Franc…",2018-10-11T21:40:20Z,"{'id': None, 'name': '7x7.com'}","The Ultimate Guide to Marin: Where to eat, drink, play + stay across the county",http://www.7x7.com/the-ultimate-guide-to-marin-county-2609795173.html,Canyon Creek Food Company
7,"Abandoned places have a way of sending chills up your spine. From empty prison cells to mysterious nuclear laboratories, the US is full of fascinating, slightly unnerving places whose empty halls echo with the stories of past occupants. More »",2018-10-17T06:27:00Z,"{'id': None, 'name': 'Businessinsider.com.au'}",The eeriest abandoned place in every state,https://www.businessinsider.com.au/abandoned-places-us-states-2018-4,Canyon Creek Food Company
8,"There are plenty of reasons why we should be celebrating the arrival of fall - sweater weather and pumpkin spice lattes come to mind - but most importantly, it means Halloween season is upon us. More »",2018-09-26T09:46:15Z,"{'id': None, 'name': 'Businessinsider.com.au'}",The best way to celebrate Halloween in every state,https://www.businessinsider.com.au/httpswwwthisisinsidercombest-things-to-do-halloween-2018-9,Canyon Creek Food Company
9,"Operation Kindness' 25th annual Dog Day Afternoon, rescheduled after being rained out last month, is from 10 a.m. to 1 p.m. Saturday at their...",2018-10-12T11:51:13Z,"{'id': None, 'name': 'Dallasnews.com'}",Dog About Town: Try out those costumes this weekend,https://www.dallasnews.com/life/pets/2018/10/12/dog-town-try-costumes-weekend,Canyon Creek Food Company
0,"Agropur coopérative a annoncé la fermeture de son usine de Saint-Damase, en Montérégie. Quelque 110...",2018-09-22T00:48:15Z,"{'id': None, 'name': 'Ledevoir.com'}",Agropur ferme à Saint-Damase,https://www.ledevoir.com/economie/537414/agropur-ferme-a-saint-damase,Agropur
1,"APPLETON, Wis., Sept. 24, 2018 /PRNewswire/ -- BiPro protein and MMA fighter Rory MacDonald announce today the new partnership between the lean, clean protein line and the widely celebrated mixed martial artist. Of the partnership, MacDonald says, ""Fighting r…",2018-09-24T19:21:00Z,"{'id': None, 'name': 'Prnewswire.com'}","Rory MacDonald, aka ""The Red King"", enters the Bellator cage with BiPro® partnership",https://www.prnewswire.com/news-releases/rory-macdonald-aka-the-red-king-enters-the-bellator-cage-with-bipro-partnership-300717759.html,Agropur
2,"-Cinco clientes de Planview son reconocidos por su trabajo transformador y sus logros en gestión de recursos durante la conferencia Planview Horizons 2018 Agropur Dairy Cooperative, CNO Financial Group, Silicon Labs, SONIC y la Universidad de Notre Dame recib…",2018-10-19T06:54:00Z,"{'id': None, 'name': 'Prnewswire.com'}",Cinco clientes de Planview reconocidos durante la conferencia Planview Horizons 2018,https://www.prnewswire.com/news-releases/cinco-clientes-de-planview-reconocidos-durante-la-conferencia-planview-horizons-2018-892644352.html,Agropur
3,"Agropur Dairy Cooperative, CNO Financial Group, Silicon Labs, SONIC und University of Notre Dame erhalten Planview Vision Awards AUSTIN, Texas, 19. Oktober 2018 /PRNewswire/ -- Letzte Woche wurden auf der 21. jährlichen Planview Horizons® Kundenkonferenz fünf…",2018-10-19T01:46:00Z,"{'id': None, 'name': 'Prnewswire.com'}",Fünf Planview-Kunden bei Planview Horizons 2018 für transformative Arbeit und Ressourcenmanagement ausgezeichnet,https://www.prnewswire.com/news-releases/fünf-planview-kunden-bei-planview-horizons-2018-für-transformative-arbeit-und-ressourcenmanagement-ausgezeichnet-891314564.html,Agropur
4,"Agropur Dairy Cooperative, CNO Financial Group, Silicon Labs, SONIC et l'université de Notre Dame reçoivent les prix Planview Vision Awards AUSTIN, Texas, 19 octobre 2018 /PRNewswire/ -- La semaine dernière, lors de la 21e conférence annuelle des clients Plan…",2018-10-19T06:40:00Z,"{'id': None, 'name': 'Prnewswire.com'}",Cinq clients Planview sont à l'honneur de la conférence Planview Horizons 2018 pour leur travail transformateur et leurs accomplissements en matière de gestion des ressources,https://www.prnewswire.com/news-releases/cinq-clients-planview-sont-à-l-honneur-de-la-conférence-planview-horizons-2018-pour-leur-travail-transformateur-et-leurs-accomplissements-en-matière-de-gestion-des-ressources-853701769.html,Agropur
5,"AUSTIN, Texas, Oct. 18, 2018 /PRNewswire/ -- Last week at the 21st annual Planview Horizons® customer conference, five organizations were recognized for leveraging Planview® work and resource management solutions to drive growth, innovation, and transformatio…",2018-10-18T19:16:00Z,"{'id': None, 'name': 'Prnewswire.com'}",Five Planview customers honored at Planview Horizons 2018 for transformative work and resource management achievements,https://www.prnewswire.com/news-releases/five-planview-customers-honored-at-planview-horizons-2018-for-transformative-work-and-resource-management-achievements-300733924.html,Agropur
6,"Agropur Dairy Cooperative, CNO Financial Group, Silicon Labs, SONIC, and University of Notre Dame receive Planview Vision Awards read more",2018-10-18T19:43:14Z,"{'id': None, 'name': 'Sys-con.com'}",Five Planview customers honored at Planview Horizons 2018 for transformative work and resource management achievements,http://news.sys-con.com/node/4333937,Agropur
7,"AUSTIN, Texas, Oct. 18, 2018 /PRNewswire/ -- Last week at the 21 st annual Planview Horizons ® customer conference, five organizations were recognized for leveraging Planview ® work and resource management solutions to drive growth, innovation, and transforma…",2018-10-18T19:17:26Z,"{'id': None, 'name': 'Sys-con.com'}",Five Planview customers honored at Planview Horizons 2018 for transformative work and resource management achievements,http://news.sys-con.com/node/4333928,Agropur
0,"Who among The Mandalorian’s list of directors could direct which episodes? Vincent D’Onofrio once again stokes the flames of his desire to bring Wilson Fisk to the Marvel movies. Get your first look at the Pet Sematary remake. Plus, what’s to come on the CW’s…",2018-10-05T13:10:00Z,"{'id': None, 'name': 'Gizmodo.com'}",The Speculation About Avengers 4's Real Title Rages On,https://io9.gizmodo.com/the-speculation-about-avengers-4s-real-title-rages-on-1829424654,Cott
1,"Kamaiyah was originally supposed to release her major-label debut Don't Ever Get It Twisted in April 2017. That didn't happen. Sample clearance issues apparently held the album up, and the Oakland rapper ended up releasing the very good Before I Wake mixtape …",2018-10-12T17:39:07Z,"{'id': None, 'name': 'Stereogum.com'}",Kamaiyah – “All I Know” (Feat. Travis Scott),https://www.stereogum.com/2018578/kamaiyah-all-i-know-feat-travis-scott/music/,Cott
2,"Almost a year after dropping her Before I Wake mixtape, Kamaiyah is back with her newest single, “All I Know” featuring Travis Scott. The Oakland rapper took to social media to announce the track, and informed fans that the song was actually leaked. “Someone …",2018-10-12T20:07:45Z,"{'id': None, 'name': 'Highsnobiety.com'}",Kamaiyah & Travis Scott Team up on New Single “All I Know”,https://www.highsnobiety.com/p/kamaiyah-travis-scott-all-i-know/,Cott
3,"As the weather cools and leaves begin to turn, visitors flock to New England to witness the seasonal spectacle. We've rounded up some architecturally significant sites across the region to check out while appreciating the autumn colours. Read more",2018-10-04T14:00:38Z,"{'id': None, 'name': 'Dezeen.com'}",Seven spots in New England for fans of both architecture and fall foliage,http://www.dezeen.com/2018/10/04/new-england-autumn-architecture-attractions-fall-foliage/,Cott
4,"When invasive species enter the picture, things are rarely black and white. A new article has revealed that some plant invaders could help fight climate change by making it easier for ecosystems to store 'blue carbon' -- the carbon stored in coastal environme…",2018-10-01T12:21:56Z,"{'id': None, 'name': 'Sciencedaily.com'}",Invasive plants can boost blue carbon storage,https://www.sciencedaily.com/releases/2018/10/181001082156.htm,Cott
5,"Collaboration from two years ago was recently leaked, according to Kamaiyah",2018-10-13T01:50:25Z,"{'id': None, 'name': 'Rollingstone.com'}","Kamaiyah, Travis Scott’s ‘All I Know’ Sounds Like the Song of the Summer in October",https://www.rollingstone.com/music/music-news/kamaiyah-travis-scotts-all-i-know-new-song-737337/,Cott
6,"Tim Allen teases an emotional Toy Story 4. There’s a few tiny rumors about the progress of The Batman. Joaquin Phoenix takes a miserable-sounding call in new Joker set footage. Plus, what’s to come on The Flash and Black Lightning, two new clips from Venom, a…",2018-09-28T13:25:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Simon Kinberg Hints at an Intriguing Tone for the Gambit Movie,https://io9.gizmodo.com/simon-kinberg-hints-at-an-intriguing-tone-for-the-gambi-1829257664,Cott
7,"When invasive species enter the picture, things are rarely black and white. A new paper has revealed that some plant invaders could help fight climate change by making it easier for ecosystems to store ""blue carbon""—the carbon stored in coastal environments l…",2018-10-01T06:24:09Z,"{'id': None, 'name': 'Phys.org'}",Invasive plants can boost blue carbon storage,https://phys.org/news/2018-10-invasive-boost-blue-carbon-storage.html,Cott
8,"When “Riverdale” returns for its third season this fall, the Jones family will be getting a little bigger. Gina Gershon has been cast as Gladys Jones, Jughead’s (Cole Sprouse) mother, while Trinity Likins will play Jellybean “JB” Jones, Jughead’s sister. Glad…",2018-10-07T14:45:11Z,"{'id': None, 'name': 'Variety.com'}",‘Riverdale’ Season 3 Casts Gina Gershon and Trinity Likins,https://variety.com/2018/tv/news/riverdale-season-3-gina-gershon-trinity-likins-gladys-jellybean-jones-1202971426/,Cott
9,"Scott Kelly, a retired American astronaut with multiple space flights under his belt, apologized Sunday after quoting Winston Churchill and calling the 20th century British prime minister ""one of the greatest leaders of modern times.""",2018-10-08T02:34:38Z,"{'id': None, 'name': 'Washingtonexaminer.com'}",Astronaut sorry for 'offending' by praising Winston Churchill...,https://www.washingtonexaminer.com/news/astronaut-scott-kelly-apologizes-after-quoting-praising-winston-churchill,Cott
10,"The CW is launching #CWOpenToAll, a new on-air, digital, social and print campaign designed to reinforce the network’s commitment to inclusion and representation. “We think this campaign really captures the spirit and mission of the CW and why our fans come t…",2018-10-14T23:00:01Z,"{'id': None, 'name': 'Variety.com'}",The CW Launches #CWOpenToAll Campaign to Promote Inclusion (Watch),https://variety.com/2018/tv/news/cw-open-to-all-campaign-launch-video-1202979608/,Cott
11,"Last week, our Best New Tracks series spotlighted high-profile new releases from LoutGotCash, Blake, AlunaGeorge, Leven Kali, Dave East and Styles P. We continue to shine a light on all sides of the genre spectrum for the latest entry in our weekly roundup se…",2018-10-12T23:27:15Z,"{'id': None, 'name': 'Hypebeast.com'}","Best New Tracks: Tom Misch, Sampha, Mick Jenkins, Kamaiyah and Maggie Rogers",https://hypebeast.com/2018/10/best-new-tracks-sampha-mick-jenkins-kamaiyah-maggie-rogers-tom-misch,Cott
12,"Zendaya talks about those Little Mermaid rumors. The third Kingsman movie could be dropping next year. Matt and Foggy host an uneasy reunion in the first pictures from Daredevil ’s third season. Plus, what’s to come on Riverdale, Halloween goes documental, an…",2018-09-24T13:30:00Z,"{'id': None, 'name': 'Gizmodo.com'}",More Joker Set Pictures Tease the Rise of a New Clown Prince of Crime,https://io9.gizmodo.com/more-joker-set-pictures-tease-the-rise-of-a-new-clown-p-1829257624,Cott
13,Photos from the upcoming Breakfast Club-inspired flashback episode of Riverdale features all the flirtations and flings of the parents. The post Riverdale Flashback Episode Photos Reveal Doomed Relationships & More appeared first on CBR.,2018-10-18T01:30:14Z,"{'id': None, 'name': 'Cbr.com'}",Riverdale Flashback Episode Photos Reveal Doomed Relationships & More,https://www.cbr.com/riverdale-flashback-episode-photos-doomed-relationships/,Cott
14,Australian supermarket giant Woolworths has removed sewing needles from its stores to prevent them being inserted into strawberries and other fruit following an outbreak of food sabotage across the country.,2018-09-20T10:43:45Z,"{'id': 'the-telegraph', 'name': 'The Telegraph'}",Woolworths withdraw sewing needles from shelves as fruit tampering 'hysteria' grows,https://www.telegraph.co.uk/news/2018/09/20/woolworths-withdraw-sewing-needles-shelves-fruit-tampering-hysteria/,Cott
15,"Riverdale stars Cole Sprouse, Lili Reinhart, Madelaine Petsch, Casey Cott, and Vanessa Morgan give each other compliments, stare into each other's eyes, and do trust falls. Source",2018-09-24T22:37:47Z,"{'id': None, 'name': 'Livejournal.com'}",The Riverdale cast test their friendship,https://ohnotheydidnt.livejournal.com/112439487.html,Cott
16,"Keeping up with the Joneses will be easier in season three of Riverdale. That’s because Jughead ’s mother and sister will be recurring and shaking things up around town. Gina Gershon (Jughead’s mother, Gladys Jones) and newcomer Trinity Likins (sister Jellybe…",2018-10-07T14:45:41Z,"{'id': None, 'name': 'Deadline.com'}",‘Riverdale’ To Introduce Jughead’s Family In Season Three – New York Comic Con,https://deadline.com/2018/10/riverdale-gina-gershon-trinity-likins-cast-season-3-cw-comic-con-1202477910/,Cott
17,"Riverdale's Lili Reinhart, Cole Sprouse, Vanessa Morgan, Madelaine Petsch, Skeet Ulrich, Madchen Amick join Casey Cott and answer the internet's most searched questions about the show and themselves. Source",2018-10-08T20:27:59Z,"{'id': None, 'name': 'Livejournal.com'}",The cast of Riverdale and Casey Cott answer the internet’s most searched questions by Wired,https://ohnotheydidnt.livejournal.com/112601398.html,Cott
18,"Nick Jonas may be more focused on his solo music career these days, but the 26-year-old hasn't forgotten his Broadway beginnings. At least Darren...",2018-10-08T15:40:02Z,"{'id': None, 'name': 'Billboard.com'}",Darren Criss and Nick Jonas Reprise 'How To Succeed in Business' With 'Brotherhood of Man' Duet at Elsie Fest,https://www.billboard.com/articles/news/broadway/8478658/darren-criss-nick-jonas-perform-elsie-fest-video,Cott
19,"The cast of Riverdale Season 3 continues to grow with the additions of Gina Gershon and Trinity Likins as Jughead's mother and sister, respectively. The post Riverdale Season 3 Casts Jughead’s Mother and Sister appeared first on CBR.",2018-10-07T14:45:26Z,"{'id': None, 'name': 'Cbr.com'}",Riverdale Season 3 Casts Jughead’s Mother and Sister,https://www.cbr.com/riverdale-season-3-jughead-mother-sister-gina-gershon-trinity-likins/,Cott
0,"As I rolled my cart through the snack section of Trader Joe's, a bag of tortilla chips caught my eye. The bright green packaging was simple, clean, and dare I say… beautiful. The front included three illustrated shapes rendered in dark lines of green which se…",2018-10-11T17:15:00Z,"{'id': None, 'name': 'Thekitchn.com'}",I Tried Trader Joe's New Brussels Sprout Tortilla Chips — Grocery News,https://www.thekitchn.com/trader-joes-brussels-sprouts-tortilla-chips-review-263466,Dare Foods
1,"We're pretty obsessed with SmartSweets low-sugar candy; the new-and-improved gummy bears taste just like the convenience store candy you grew up with, and dare we say the Sweet Fish are even better than their full-sugar Swedish Fish counterparts. So when we s…",2018-10-15T18:05:03Z,"{'id': None, 'name': 'Popsugar.com'}","SmartSweets Now Has Fun-Size Packs, and Sorry, Trick-or-Treaters, We're Not Sharing",https://www.popsugar.com/fitness/SmartSweets-Fun-Size-Packs-45381976,Dare Foods
2,"There are days where our internal motivation will suffice. Those are the days when you can get right to work without having to put on that fast-paced playlist, drink ten pots of coffee, and take a cold shower just to get started on your projects and responsib…",2018-10-09T16:00:05Z,"{'id': None, 'name': 'Lifehack.org'}",These 25 Work Hard Quotes Will Inspire You to Do More With Your Time,https://www.lifehack.org/805361/work-hard-quotes,Dare Foods
3,"How Acme, Aldi, Trader Joe's and Whole Foods stacked up when I tried to spend just $32 for a week's worth of groceries.",2018-09-21T17:42:00Z,"{'id': 'cnbc', 'name': 'CNBC'}","Here's what you get for $32 at Acme, Aldi, Trader Joe's and Whole Foods",https://www.cnbc.com/2018/09/21/what-groceries-32-dollars-buys-at-acme-aldi-trader-joes-and-whole-foods.html,Dare Foods
4,"FML : From fermented fish to maggot cheese, it will exhibit 80 culinary curiosities from around the world.",2018-10-03T15:00:00Z,"{'id': None, 'name': 'Fmylife.com'}",By Gloria Borger,http://www.fmylife.com/article/world-s-worst-dishes-honored-in-swedish-museum_289113.html,Dare Foods
5,"First-time visitors to Strasbourg will feel as if they are looking at a movie backdrop. The reflections of half-timbered houses with sloping roofs, reminiscent of those seen in fairytales, recur in the many waterways surrounding and running through the city",2018-09-25T13:13:00Z,"{'id': None, 'name': 'Forbes.com'}","6 Reasons To Visit Strasbourg, France: Cradle Of Alsatian Culture",https://www.forbes.com/sites/irenelevine/2018/09/25/6-reasons-to-visit-strasbourg-france-cradle-of-alsatian-culture/,Dare Foods
6,"Against the odds, Valerie Stivers finds a way to make an appetizing dessert inspired by ‘The Story of the Eye.’",2018-10-19T13:00:07Z,"{'id': None, 'name': 'Theparisreview.org'}",Cooking with Georges Bataille,https://www.theparisreview.org/blog/2018/10/19/cooking-with-georges-bataille/,Dare Foods
7,"(Natural News) Genetically modified food is a very controversial subject. More and more people are growing skeptical of its safety and going out of their way to avoid it, while others are less concerned by its risks. What factors play a role in these attitude…",2018-09-25T18:03:06Z,"{'id': None, 'name': 'Naturalnews.com'}",Consumer attitudes toward biotechnology differ depending on whether food is fresh or processed,https://www.naturalnews.com/2018-09-25-consumer-perceptions-of-biotechnology-how-they-differ-between-fresh-food-vs-processed-food.html,Dare Foods
8,"A new exhibit features world ""delicacies"" including maggot-infested cheese and a bull's penis.",2018-10-01T21:01:53Z,"{'id': None, 'name': 'Stuff.co.nz'}",What's served up at the Disgusting Food Museum?,https://www.stuff.co.nz/travel/themes/food/107526610/Whats-served-up-at-the-Disgusting-Food-Museum,Dare Foods
9,Teen Mom star Tyler Baltierra shared a before-and-after photo of his stunning weight loss and shared his new weight with fans.,2018-09-28T17:28:03Z,"{'id': None, 'name': 'Thehollywoodgossip.com'}",Tyler Baltierra Shows Off Jaw-Dropping Weight Loss!,https://www.thehollywoodgossip.com/2018/09/tyler-baltierra-shows-off-jaw-dropping-weight-loss/,Dare Foods
10,Health coach and digestive expert Robyn Youkilis weighs in—and explains more of the tiny seed's big benefits.,2018-09-30T16:00:57Z,"{'id': None, 'name': 'Wellandgood.com'}","Sure, flaxseed is full of fiber—but how exactly do you use it?",https://www.wellandgood.com/good-food/how-to-use-flaxseed/,Dare Foods
